Timestamp,What is your age? ,What is your gender? ,3)Which mobile phone do you use? ,How many hours do you use your phone daily?,Which app do you use the most? ,Reason of using that
14/02/2026 19:08:36,18,Male,Android,2-4 hours,"Instagram, Youtube, chatGPT","Entertainment, study/Learning"
15/02/2026 09:49:06,18,Male,Android,2-4 hours,"Whatsapp, Instagram, Youtube, chatGPT","Entertainment, study/Learning"
15/02/2026 09:50:35,18,Male,Android,2-4 hours,"Instagram, Youtube, chatGPT","chatting/socializing, Entertainment, study/Learning"
15/02/2026 09:51:32,18,Male,Android,2-4 hours,"Youtube, Netflix, chatGPT","chatting/socializing, Entertainment, study/Learning"
15/02/2026 09:52:40,18,Male,Android,1-2 hours,"Whatsapp, Instagram, chatGPT","chatting/socializing, Entertainment, study/Learning"
15/02/2026 09:53:44,18,Male,Android,1-2 hours,"Instagram, chatGPT","Entertainment, study/Learning"
15/02/2026 09:54:40,18,Male,Android,2-4 hours,"Youtube, Netflix, chatGPT","chatting/socializing, Entertainment, study/Learning"
15/02/2026 09:55:35,18,Male,Android,1-2 hours,"Whatsapp, Instagram, Youtube, chatGPT","chatting/socializing, Entertainment, study/Learning"
15/02/2026 09:56:12,18,Male,Android,1-2 hours,"Whatsapp, Instagram, Youtube, chatGPT","chatting/socializing, Entertainment, study/Learning"
15/02/2026 13:47:43,45,Male,Android,More than 4 hours,"Whatsapp, Youtube",Entertainment
15/02/2026 13:49:07,38,Male,Android,2-4 hours,"Whatsapp, Youtube, chatGPT","chatting/socializing, Entertainment, study/Learning"
17/02/2026 14:23:16,21,Male,Android,More than 4 hours,"Whatsapp, Instagram, Youtube, Netflix, chatGPT","chatting/socializing, Entertainment"
22/02/2026 17:51:34,23,Female,iPhone,1-2 hours,"Whatsapp, Instagram, Youtube, Netflix, chatGPT","chatting/socializing, Entertainment, study/Learning"
22/02/2026 17:51:50,18,Male,iPhone,2-4 hours,"Whatsapp, Youtube, chatGPT","chatting/socializing, study/Learning"
22/02/2026 17:52:16,22,Female,iPhone,More than 4 hours,"Whatsapp, Netflix, chatGPT","chatting/socializing, study/Learning"
22/02/2026 17:53:06,18,Female,Android,1-2 hours,"Whatsapp, Instagram, Youtube, Netflix, chatGPT","chatting/socializing, Entertainment, study/Learning"
22/02/2026 17:53:33,20,Female,iPhone,2-4 hours,"Whatsapp, Youtube, chatGPT","chatting/socializing, Entertainment, study/Learning"
22/02/2026 17:53:50,20,Male,Android,2-4 hours,"Youtube, chatGPT",study/Learning
22/02/2026 17:54:06,18,Male,iPhone,2-4 hours,"Netflix, chatGPT","chatting/socializing, study/Learning"
22/02/2026 17:54:20,18,Female,Android,2-4 hours,"Whatsapp, Youtube, chatGPT","chatting/socializing, study/Learning"
22/02/2026 17:54:39,20,Female,Android,2-4 hours,"Instagram, chatGPT","chatting/socializing, study/Learning"
22/02/2026 17:54:57,13,Male,iPhone,1-2 hours,"Instagram, Youtube, Netflix, chatGPT","chatting/socializing, study/Learning"
22/02/2026 17:55:19,18,Male,Android,1-2 hours,"Whatsapp, Instagram, Netflix, chatGPT","chatting/socializing, Entertainment, study/Learning"
22/02/2026 17:55:43,20,Male,Android,More than 4 hours,"Whatsapp, Instagram","Entertainment, study/Learning"
22/02/2026 17:56:40,20,Female,Android,2-4 hours,"Whatsapp, Instagram, Youtube, Netflix, chatGPT","chatting/socializing, Entertainment, study/Learning"
22/02/2026 17:56:58,20,Female,Android,1-2 hours,"Whatsapp, Instagram, Youtube, Netflix","chatting/socializing, study/Learning"
